RT,SERIALNO,PUMA,HHL,HHT
H,9855,4612,1.0,5.0
H,9877,5000,,
H,9881,2511,1.0,1.0
H,9899,600,2.0,1.0
H,9901,4607,2.0,1.0
H,9909,4615,4.0,2.0
H,9954,2319,,
H,9958,3400,1.0,1.0
H,9968,1905,1.0,1.0
H,9971,1906,1.0,1.0
H,9974,3000,1.0,3.0
H,9975,2400,1.0,1.0
H,9976,4611,2.0,2.0
H,9993,2317,1.0,6.0
H,9997,5906,1.0,1.0
H,10005,4628,1.0,3.0
H,10070,6703,2.0,1.0
H,10074,4637,1.0,5.0
H,10077,1906,1.0,1.0
H,10078,4613,4.0,5.0
H,10094,3900,,
H,10105,5908,2.0,6.0
H,10129,1800,3.0,2.0
H,10139,2003,2.0,1.0
H,10166,4637,1.0,4.0
H,10168,5500,1.0,4.0
H,10171,4626,1.0,3.0
H,10172,4629,1.0,4.0
H,10180,2001,1.0,1.0
H,10191,800,1.0,3.0
H,10221,5907,4.0,6.0
H,10227,3802,1.0,2.0
H,10235,2311,3.0,1.0
H,10242,2004,1.0,1.0
H,10249,5202,,
H,10258,1800,1.0,1.0
H,10262,900,1.0,4.0
H,10267,5500,1.0,1.0
H,10272,3700,1.0,1.0
H,10275,2006,1.0,1.0
H,10286,600,1.0,1.0
H,10294,900,1.0,6.0
H,10296,100,1.0,1.0
H,10297,2600,1.0,6.0
H,10322,1906,1.0,3.0
H,10375,2508,5.0,6.0
H,10377,6602,2.0,2.0
H,10393,1100,1.0,1.0
H,10437,1100,,
H,10464,2800,,
H,10480,2513,2.0,3.0
H,10481,2512,1.0,1.0
H,10510,800,1.0,1.0
H,10545,6301,2.0,7.0
H,10548,300,1.0,1.0
H,10571,2507,1.0,3.0
H,10573,3302,5.0,6.0
H,10600,4608,2.0,1.0
H,10670,5902,3.0,6.0
H,10683,2308,1.0,4.0
H,10695,5202,1.0,7.0
H,10704,4200,1.0,2.0
H,10710,2600,,
H,10720,4701,1.0,6.0
H,10740,4613,1.0,1.0
H,10753,2514,1.0,4.0
H,10755,5307,1.0,6.0
H,10762,4603,1.0,6.0
H,10766,2314,1.0,6.0
H,10775,2308,,
H,10820,4603,1.0,3.0
H,10835,4638,1.0,3.0
H,10849,600,,
H,10855,2303,1.0,1.0
H,10865,502,1.0,5.0
H,10906,800,,
H,10908,5915,1.0,1.0
H,10912,2800,1.0,6.0
H,10931,2302,4.0,1.0
H,10950,1700,,
H,10956,2309,1.0,1.0
H,10970,4608,1.0,1.0
H,10978,6500,,
H,10980,2321,1.0,3.0
H,10981,6500,1.0,1.0
H,10985,800,,
H,10998,1100,1.0,1.0
H,11008,4613,,
H,11026,5400,1.0,1.0
H,11032,4624,2.0,1.0
H,11034,4613,3.0,1.0
H,11044,6806,2.0,1.0
H,11057,3303,2.0,1.0
H,11091,4630,1.0,1.0
H,11094,4504,1.0,4.0
H,11097,3801,2.0,1.0
H,11119,4601,2.0,1.0
H,11125,4617,1.0,1.0
H,11144,3601,2.0,1.0
H,11149,3601,1.0,1.0
H,11150,3306,1.0,1.0
H,11153,2700,,
H,11178,5309,1.0,1.0
H,11188,2600,,
H,11196,2322,1.0,1.0
H,11204,2510,1.0,6.0
H,11206,5201,1.0,3.0
H,11232,2313,1.0,4.0
H,11236,6701,,
H,11244,4905,1.0,1.0
H,11271,6100,2.0,4.0
H,11298,2322,4.0,3.0
H,11301,4627,1.0,1.0
H,11303,1903,1.0,3.0
H,11323,2600,,
H,11324,5204,1.0,1.0
H,11325,2310,1.0,6.0
H,11329,3301,2.0,1.0
H,11338,3400,2.0,1.0
H,11339,4638,2.0,1.0
H,11346,5903,1.0,1.0
H,11358,3602,1.0,1.0
H,11362,4400,,
H,11370,800,1.0,4.0
H,11409,5100,1.0,6.0
H,11413,3200,,
H,11416,2003,1.0,1.0
H,11423,5204,1.0,3.0
H,11424,4603,3.0,1.0
H,11441,1200,,
H,11443,5902,,
H,11458,2514,1.0,6.0
H,11459,5905,2.0,1.0
H,11460,2503,1.0,3.0
H,11463,2200,,
H,11478,6500,2.0,2.0
